state,tot_cases,new_case,tot_death,new_death
AK,103800015,282632,533125,1186
AL,638327202,1528319,10915844,20498
AR,403775153,954552,5830937,12041
AS,1382283,8250,5776,34
AZ,978893192,2275235,15992140,31644
CA,4364733842,11107087,50457009,95414
CO,658900625,1660829,6600246,13348
CT,367082955,888009,7159317,11385
DC,64506024,168122,929885,1383
DE,123511033,310527,1674285,3094
FL,2877176184,7135916,40188788,81807
FSM,753724,22005,1997,51
GA,1256065315,2898910,20057017,39908
GU,18298026,58647,171781,399
HI,96019895,335545,655122,1682
IA,390168331,854980,5253659,10125
ID,216319232,497007,2394459,5187
IL,1535904620,3778171,22194980,39791
IN,826545624,1924345,12704876,24748
KS,367118827,880197,4551055,9045
KY,605488868,1597566,8132143,17131
LA,590492442,1365729,10256566,18120
MA,813473206,2059179,14732297,25550
MD,508846790,1257358,8565843,15455
ME,100313491,292654,1008102,2621
MI,1143810923,2860770,19618601,33419
MN,683721274,1661920,6973404,13496
MO,698151846,1645029,10055057,18610
MP,3169106,13171,10826,40
MS,390667852,919938,7138044,11689
MT,130318670,310008,1654489,3472
NC,1233122110,3221966,13187799,26889
ND,119737804,270288,1303518,2383
NE,238090381,517065,2197571,4156
NH,130358243,352606,1308866,2713
NJ,1102833421,2770444,22698466,32968
NM,244753570,621166,3924141,8391
NV,360314431,793069,5511467,11144
NY,1301856010,3259603,17308667,29549
NYC,1118339865,2897546,29278250,42097
OH,1276191903,3149589,19056947,36187
OK,509948964,1201654,7254969,13848
OR,311165942,899013,3390079,8590
PA,1328107988,3249979,24628308,47169
PR,246444841,963373,2319777,5178
PW,1209901,5510,1440,6
RI,163311965,406546,2238442,3674
RMI,827571,15375,934,17
SC,703355936,1715434,9396256,18468
SD,123303578,261537,1647941,3033
TN,985632802,2327351,12689455,25437
TX,3307212352,7691340,47538683,89344
UT,451582481,1040147,2350692,5018
VA,800947192,2099126,10365763,21986
VI,7188849,23103,52258,123
VT,42676851,133252,288765,698
WA,644705150,1825126,6442064,14417
WI,775370683,1875895,7409068,15321
WV,219275324,603256,3159079,7387
WY,74375640,177635,845670,1904
